,franquicia,titulo_original,recaudacion
4968,The Omen Collection,Damien: Omen II,26518355.0
4976,The Omen Collection,Omen III: The Final Conflict,20471382.0
4982,Airplane Collection,Airplane!,83453539.0
4983,Airplane Collection,Airplane II: The Sequel,27150534.0
4984,National Lampoon's Vacation Collection,National Lampoon’s European Vacation,49364621.0
4987,National Lampoon's Vacation Collection,National Lampoon's Vacation,61399552.0
4990,Problem Child Collection,Problem Child,0.0
4994,Problem Child Collection,Problem Child 2,0.0
5000,A Christmas Story Collection,A Christmas Story,19294144.0
5008,Universal Soldier Collection,Universal Soldier: The Return,10667893.0
5012,Universal Soldier Collection,Universal Soldier,0.0
5032,Iron Eagle Collection,Iron Eagle,0.0
5044,Iron Eagle Collection,Iron Eagle II,0.0
5060,Iron Eagle Collection,Iron Eagle III,0.0
5068,Iron Eagle Collection,Iron Eagle IV,0.0
5070,The Spiders Serial,"Die Spinnen, 1. Teil - Der Goldene See",0.0
5072,Stir of Echoes Collection,Stir of Echoes,21133087.0
5075,Fright Night Collection,Fright Night,24922237.0
5078,Fright Night Collection,Fright Night Part 2,2983784.0
5080,Armour of God Collection,飛鷹計劃,0.0
5084,Armour of God Collection,龍兄虎弟,0.0
5102,Phantasm Collection,Phantasm,11988469.0
5106,Psycho Collection,Psycho II,34725000.0
5112,Psycho Collection,Psycho III,14481606.0
5114,Drunken Master Collection,醉拳,0.0
