,titulo_original,pais
6073,The Muppets Take Manhattan,United States of America
6090,Final Destination,United States of America
6096,Death Wish,United States of America
6112,Death Wish 2,United States of America
6115,Death Wish 3,United States of America
6119,Death Wish 4: The Crackdown,United States of America
6123,Death Wish 5: The Face of Death,Canada
6124,Death Wish 5: The Face of Death,United States of America
6139,Teenage Mutant Ninja Turtles,Hong Kong
6141,Teenage Mutant Ninja Turtles,United States of America
6179,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Hong Kong
6180,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,United States of America
6199,Teenage Mutant Ninja Turtles III,Hong Kong
6200,Teenage Mutant Ninja Turtles III,United States of America
6235,Bloodsport,United States of America
6236,Grumpy Old Men,United States of America
6245,The Hustler,United States of America
6247,The Skulls,Canada
6248,The Skulls,United States of America
6271,The Odd Couple,United States of America
6272,Force 10 from Navarone,United Kingdom
6280,How to Stuff a Wild Bikini,United States of America
6283,Arthur,United States of America
6286,Bachelor Party,United States of America
6292,Predator,United States of America
6340,American Psycho,Canada
6343,American Psycho,United States of America
6394,East Is East,United Kingdom
6403,Caddyshack,United States of America
6405,The Crow: Salvation,Germany
6407,The Crow: Salvation,United States of America
6441,The Flintstones in Viva Rock Vegas,United States of America
6449,Idioterne,Denmark
6450,Idioterne,France
6451,Idioterne,Germany
6452,Idioterne,Italy
6453,Idioterne,Netherlands
6454,Idioterne,Sweden
6473,Carnosaur,United States of America
6475,Carnosaur 2,United States of America
6477,Carnosaur 3: Primal Species,United States of America
6480,The Hidden,United States of America
6496,Inferno,Italy
6500,"Die Nibelungen, Teil 1: Siegfried",Germany
6501,"Die Nibelungen, Teil 1: Siegfried",Serbia
6512,Center Stage,United States of America
6514,Pee-wee's Big Adventure,United States of America
6518,Saludos Amigos,United States of America
6526,Road Trip,United States of America
6530,Mission: Impossible II,Germany
6531,Mission: Impossible II,United States of America
6548,Shanghai Noon,Hong Kong
6551,Shanghai Noon,United States of America
6620,On Her Majesty's Secret Service,United Kingdom
6622,On Her Majesty's Secret Service,United States of America
6656,The Spy Who Loved Me,United Kingdom
6659,The Spy Who Loved Me,United States of America
6710,Moonraker,France
6712,Moonraker,United Kingdom
6714,Moonraker,United States of America
6758,The Man with the Golden Gun,United Kingdom
6761,The Man with the Golden Gun,United States of America
6812,Big Momma's House,Germany
6813,Big Momma's House,United States of America
6820,The Endless Summer,United States of America
6821,The Guns of Navarone,United Kingdom
6824,The Guns of Navarone,United States of America
6869,Quatermass and the Pit,United Kingdom
6871,Quatermass II,United Kingdom
