,titulo_original,pais
7181,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,United States of America
7319,Sinbad and the Eye of the Tiger,United Kingdom
7329,Nutty Professor II: The Klumps,United States of America
7337,Hollow Man,Germany
7338,Hollow Man,United States of America
7349,Phantasm II,United States of America
7361,Phantasm III: Lord of the Dead,United States of America
7364,Phantasm IV: Oblivion,United States of America
7366,Pumpkinhead,United States of America
7370,Sleepaway Camp,United States of America
7371,Ilsa: She Wolf of the SS,Germany
7373,Ilsa: She Wolf of the SS,United States of America
7383,The Cell,Germany
7384,The Cell,United States of America
7413,Gojira ni-sen mireniamu,Japan
7417,The Naked Gun: From the Files of Police Squad!,United States of America
7419,The Naked Gun 2½: The Smell of Fear,United States of America
7421,The Art of War,Canada
7422,The Art of War,United States of America
7445,Bring It On,United States of America
7446,Highlander: Endgame,United States of America
7464,Anatomie,Germany
7468,Urban Legends: Final Cut,Canada
7469,Urban Legends: Final Cut,United States of America
7474,Dancer in the Dark,Argentina
7475,Dancer in the Dark,Denmark
7476,Dancer in the Dark,Finland
7477,Dancer in the Dark,France
7478,Dancer in the Dark,Germany
7479,Dancer in the Dark,Iceland
7480,Dancer in the Dark,Italy
7481,Dancer in the Dark,Netherlands
7482,Dancer in the Dark,Norway
7483,Dancer in the Dark,Sweden
7484,Dancer in the Dark,United Kingdom
7485,Dancer in the Dark,United States of America
8410,Hellraiser,United Kingdom
8414,Hellbound: Hellraiser II,United Kingdom
8422,Hellraiser III: Hell on Earth,Canada
8423,Hellraiser III: Hell on Earth,United States of America
8440,Beach Party,United States of America
8442,Bikini Beach,United States of America
8445,Return of the Fly,United States of America
8451,Pajama Party,
8453,Creature from the Black Lagoon,United States of America
8456,The Invisible Man,United States of America
8458,The Slumber Party Massacre,United States of America
8460,Slumber Party Massacre II,United States of America
8462,Slumber Party Massacre III,United States of America
8464,Sorority House Massacre,United States of America
8465,Sorority House Massacre II,United States of America
8468,Digimon: The Movie,Japan
8470,Digimon: The Movie,United States of America
8500,Meet the Parents,United States of America
8508,Billy Jack,United States of America
8511,Billy Jack Goes to Washington,United States of America
8512,Ghoulies,United States of America
8515,Ghoulies II,United States of America
8519,醉拳二,Hong Kong
8523,Book of Shadows: Blair Witch 2,United States of America
8529,Charlie's Angels,United States of America
8554,Diamonds Are Forever,United Kingdom
8556,Diamonds Are Forever,United States of America
8590,Rugrats in Paris: The Movie,Germany
8591,Rugrats in Paris: The Movie,United States of America
8614,102 Dalmatians,United States of America
8618,卧虎藏龙,China
8619,卧虎藏龙,Hong Kong
8620,卧虎藏龙,Taiwan
8621,卧虎藏龙,United States of America
8746,Dungeons & Dragons,Czech Republic
8748,Dungeons & Dragons,United States of America
8794,The Living Daylights,United Kingdom
8801,The Living Daylights,United States of America
8878,Wall Street,United States of America
8880,The Emperor's New Groove,United States of America
8890,Miss Congeniality,United States of America
8938,Dracula 2000,United States of America
8944,Annie,United States of America
8952,Save the Last Dance,United States of America
8960,Beverly Hills Cop II,United States of America
8969,Beverly Hills Cop,United States of America
8975,The Brave Little Toaster,United States of America
9011,Ernest Goes to Camp,United States of America
9015,The Evil Dead,United States of America
9016,Jaws: The Revenge,United States of America
9018,The Lost Boys,United States of America
9020,Mannequin,United States of America
9023,Left Behind,Canada
9027,花樣年華,China
9030,花樣年華,Hong Kong
9051,Hannibal,United Kingdom
9052,Hannibal,United States of America
9083,Recess: School's Out,United States of America
9091,Demetrius and the Gladiators,United States of America
9095,The Abominable Dr. Phibes,United Kingdom
9096,The Abominable Dr. Phibes,United States of America
9099,Manhunter,United States of America
9105,Revenge of the Nerds,United States of America
9108,Revenge of the Nerds II: Nerds in Paradise,United States of America
9112,C.H.U.D.,United States of America
9116,Spy Kids,United States of America
9140,Along Came a Spider,Canada
9142,Along Came a Spider,Germany
9144,Along Came a Spider,United States of America
9284,Just Visiting,France
9286,Just Visiting,United States of America
9320,Pokémon 3: The Movie,Japan
9400,Bridget Jones's Diary,France
9401,Bridget Jones's Diary,Ireland
9402,Bridget Jones's Diary,United Kingdom
9403,Bridget Jones's Diary,United States of America
9460,Joe Dirt,United States of America
9470,Crocodile Dundee in Los Angeles,Australia
9471,Crocodile Dundee in Los Angeles,United States of America
9482,The Mummy Returns,United States of America
9500,Shrek,United States of America
9515,City Slickers,United States of America
9545,La notte,Italy
9546,La notte,France
9551,The Magnificent Seven,United States of America
9555,Return of the Seven,Spain
9557,Return of the Seven,United States of America
9563,Atlantis: The Lost Empire,United States of America
9587,Lara Croft: Tomb Raider,United States of America
9615,Dr. Dolittle 2,United States of America
9627,The Fast and the Furious,Germany
9628,The Fast and the Furious,United States of America
9651,Les Rivières pourpres,France
9654,Cats & Dogs,United States of America
9702,Scary Movie 2,Canada
9703,Scary Movie 2,United States of America
9710,Beach Blanket Bingo,United States of America
9712,I soliti ignoti,Italy
9714,The Cannonball Run,United States of America
9718,Cannonball Run II,United States of America
9722,Speed Zone,United States of America
9726,Dr. Goldfoot and the Bikini Machine,United States of America
9728,Nice Dreams,United States of America
9730,Things Are Tough All Over,United States of America
9732,Suspiria,Italy
9736,Final Fantasy: The Spirits Within,Japan
9737,Final Fantasy: The Spirits Within,United States of America
9772,Legally Blonde,United States of America
9774,Arthur 2: On the Rocks,United States of America
9776,Big Top Pee-wee,United States of America
9778,Caddyshack II,United States of America
9780,Critters,United States of America
9795,Critters 2,United States of America
9803,Critters 3,United States of America
9811,The Dead Pool,United States of America
9817,"Elvira, Mistress of the Dark",United States of America
9825,Ernest Saves Christmas,United States of America
9827,Howling IV: The Original Nightmare,United Kingdom
9829,The Land Before Time,Ireland
9830,The Land Before Time,United States of America
9865,Return of the Living Dead Part II,United States of America
9867,The Return of the Living Dead,United States of America
9873,Return to Snowy River,Australia
9888,The Man from Snowy River,Australia
9898,Short Circuit 2,United States of America
9906,Short Circuit,United States of America
9915,鉄男,Japan
9917,Waxwork,United States of America
9925,American Ninja,United States of America
9929,American Ninja 2: The Confrontation,United States of America
9935,American Ninja 3: Blood Hunt,United States of America
9936,American Ninja 3: Blood Hunt,Canada
9937,American Ninja 3: Blood Hunt,South Africa
9953,Best of the Best 2,United States of America
9957,Bill & Ted's Excellent Adventure,United States of America
9969,C.H.U.D. II: Bud the Chud,United States of America
9975,Cyborg,United States of America
9979,Dream a Little Dream,United States of America
9987,Eddie and the Cruisers II: Eddie Lives!,Canada
9988,Eddie and the Cruisers II: Eddie Lives!,United States of America
9993,Eddie and the Cruisers,United States of America
9997,K-9,United States of America
10003,Kickboxer,United States of America
10005,Look Who's Talking,United States of America
10009,Major League,United States of America
10011,Jurassic Park III,United States of America
10027,The Return of Swamp Thing,United States of America
10029,The Return of the Musketeers,France
10030,The Return of the Musketeers,Spain
10031,The Return of the Musketeers,United Kingdom
10038,Road House,United States of America
10050,Stepfather II: Make Room For Daddy,United States of America
10051,Stepfather II: Make Room For Daddy,United Kingdom
10062,The Stepfather,United Kingdom
10063,The Stepfather,United States of America
10064,The Stepfather,Canada
10074,Warlock,United States of America
10078,Warlock: The Armageddon,United States of America
10084,Weekend at Bernie's II,United States of America
10086,Basket Case,United States of America
10088,The Princess Diaries,United States of America
