,titulo_original,recomendaciones
187,Star Trek: The Motion Picture,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
188,Star Trek VI: The Undiscovered Country,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
189,Star Trek V: The Final Frontier,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
190,Star Trek II: The Wrath of Khan,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
191,Star Trek III: The Search for Spock,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
192,Star Trek IV: The Voyage Home,"['Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek', 'Star Trek']"
193,Batman Returns,"['Batman Returns', 'Batman Returns', 'Batman Returns', 'Batman: The Dark Knight Returns, Part 1', 'Batman: The Dark Knight Returns, Part 1']"
194,Young Guns,"['Young Guns', 'Young Guns II', 'The Guns of Navarone', 'The Guns of Navarone', 'The Guns of Navarone']"
195,Young Guns II,"['Young Guns', 'Young Guns', 'The Guns of Navarone', 'The Guns of Navarone', 'The Guns of Navarone']"
196,Grease,"['Grease', 'Grease 2', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men']"
197,Grease 2,"['Grease', 'Grease 2', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men']"
198,Under Siege,"['Under Siege', 'Under Siege', 'Under Siege', 'Under Siege', 'Under Siege']"
199,Jaws,"['Jaws', 'Jaws 2', 'Jaws 3-D', 'Jaws 3-D', 'Jaws 3-D']"
200,Jaws 2,"['Jaws', 'Jaws 2', 'Jaws 3-D', 'Jaws 3-D', 'Jaws 3-D']"
201,Jaws 3-D,"['Jaws', 'Jaws 2', 'Jaws 3-D', 'Jaws 3-D', 'Jaws 3-D']"
202,Scream,"['Scream', 'Scream 2', 'Scream 2', 'Scream 2', 'Scream 2']"
203,Turbulence,"['Turbulence', 'Turbulence 2: Fear of Flying', 'Turbulence 2: Fear of Flying', 'Toy Story', 'Grumpier Old Men']"
204,警察故事4之簡單任務,"['警察故事4之簡單任務', '警察故事4之簡單任務', '警察故事4之簡單任務', 'Toy Story', 'Grumpier Old Men']"
205,McHale's Navy,"[""McHale's Navy"", ""McHale's Navy"", ""McHale's Navy Joins the Air Force"", ""Let's Go Navy!"", 'Toy Story']"
206,Vegas Vacation,"['Vegas Vacation', 'Vacation', 'Vacation', 'Vacation', 'Vacation']"
207,The Saint,"['The Saint', 'The Saint', 'The Saint In London', 'Le Gendarme de Saint-Tropez', 'Le Gendarme de Saint-Tropez']"
208,The Van,"['The Van', 'Van Helsing', 'Van Helsing', 'Van Helsing', 'Van Helsing']"
209,Turbo: A Power Rangers Movie,"['Turbo: A Power Rangers Movie', 'Turbo: A Power Rangers Movie', 'Turbo: A Power Rangers Movie', 'Turbo: A Power Rangers Movie', 'Turbo: A Power Rangers Movie']"
210,Anaconda,"['Anaconda', 'Anaconda', 'Anaconda', 'Anaconda', 'Anaconda']"
211,Austin Powers: International Man of Mystery,"['Austin Powers: International Man of Mystery', 'Austin Powers: International Man of Mystery', 'Austin Powers: International Man of Mystery', 'Austin Powers: International Man of Mystery', 'Austin Powers: International Man of Mystery']"
212,Warriors of Virtue,"['Warriors of Virtue', 'Warriors of Virtue', 'Warriors of Virtue', 'Warriors of Virtue', 'Warriors of Virtue']"
213,Nowhere,"['Nowhere', 'Nowhere', 'Nowhere', 'Toy Story', 'Grumpier Old Men']"
214,The Lost World: Jurassic Park,"['The Lost World: Jurassic Park', 'Jurassic Park', 'Jurassic Park', 'Jurassic World', 'Jurassic World']"
215,Shiloh,"['Shiloh', 'Shiloh', 'Shiloh', 'Saving Shiloh', 'Shiloh 2: Shiloh Season']"
216,Speed 2: Cruise Control,"['Speed 2: Cruise Control', 'Speed', 'Speed Zone', ""Charlie Chan's Murder Cruise"", 'Toy Story']"
217,Batman & Robin,"['Batman & Robin', 'Batman & Robin', 'Batman & Robin', 'Batman vs. Robin', 'Batman vs. Robin']"
218,Tetsuo II: Body Hammer,"['Tetsuo: The Bullet Man', 'Alien Nation: Body and Soul', 'Mulan II', 'Mulan II', 'Mulan II']"
219,Men in Black,"['Men in Black', 'Men in Black', 'Men in Black 3', 'Men in Black 3', 'Men in Black 3']"
220,Conan the Barbarian,"['Conan the Barbarian', 'Conan the Destroyer', 'Conan the Destroyer', 'Barbarian Queen', 'Barbarian Queen']"
221,George of the Jungle,"['George of the Jungle', 'George of the Jungle 2', 'George of the Jungle 2', 'Jungle Man-Eaters', 'The Jungle Book']"
222,Air Bud,"['Air Bud', 'Air Bud: Spikes Back', 'Air Bud 3: World Pup', 'Air Bud 3: World Pup', 'Air Bud: Golden Receiver']"
223,Free Willy 3: The Rescue,"['Free Willy 3: The Rescue', 'Free Willy 3: The Rescue', 'Free Willy', 'Free Willy', 'Free Willy']"
224,Mimic,"['Mimic', 'Mimic 2', 'Mimic 2', 'Mimic: Sentinel', 'Mimic: Sentinel']"
225,The Hunt for Red October,"['The Hunt for Red October', 'The Hunt for Red October', 'The Houses October Built', 'RED', 'RED']"
226,Kiss the Girls,"['Kiss the Girls', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss']"
227,Wishmaster,"['Wishmaster', 'Wishmaster', 'Wishmaster 4: The Prophecy Fulfilled', 'Wishmaster 4: The Prophecy Fulfilled', 'Wishmaster 4: The Prophecy Fulfilled']"
228,I Know What You Did Last Summer,"['I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'I Still Know What You Did Last Summer', 'I Still Know What You Did Last Summer', 'I Still Know What You Did Last Summer']"
229,Bean,"['Bean', 'Bean', 'Bean', 'Bean', 'Bean']"
230,Starship Troopers,"['Starship Troopers', 'Starship Troopers', 'Starship Troopers 3: Marauder', 'Starship Troopers 3: Marauder', 'Starship Troopers 3: Marauder']"
231,Mortal Kombat: Annihilation,"['Mortal Kombat: Annihilation', 'Mortal Kombat', 'Mortal Kombat', 'American Ninja 4: The Annihilation', 'Toy Story']"
232,Alien: Resurrection,"['Alien: Resurrection', 'Alien', 'Alien', 'Alien', 'Alien']"
233,Les Boys,"['Les Boys', 'Les Boys', 'Les Boys', 'Les Boys', 'Les Boys']"
234,Home Alone 3,"['Home Alone', 'Home Alone 3', 'Home Alone 3', 'Home Alone 4', 'Home Alone: The Holiday Heist']"
235,Scream 2,"['Scream', 'Scream 2', 'Scream 2', 'Scream 2', 'Scream 2']"
236,Tomorrow Never Dies,"['Tomorrow Never Dies', 'Wishmaster 2: Evil Never Dies', 'Wishmaster 2: Evil Never Dies', 'Never Say Never Again', 'Never Say Never Again']"
237,The Postman,"['The Postman', 'The Fugitive', 'The Enforcer', 'The Nude Bomb', 'The Robe']"
238,3 Ninjas: High Noon at Mega Mountain,"['3 Ninjas: High Noon at Mega Mountain', '3 Ninjas: High Noon at Mega Mountain', '3 Ninjas', '3 Ninjas Knuckle Up', 'Shanghai Noon']"
239,The Prophecy II,"['The Prophecy', 'The Prophecy 3: The Ascent', 'Karas: The Prophecy', 'Karas: The Prophecy', 'Karas: The Prophecy']"
240,Blues Brothers 2000,"['The Blues Brothers', 'Blues Busters', 'Dracula 2000', 'Dracula 2000', 'Dracula 2000']"
241,U.S. Marshals,"['U.S. Marshals', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
242,Wild Things,"['Wild Things: Foursome', 'Wild Things: Diamonds in the Rough', 'Wild Things: Diamonds in the Rough', 'Wild Things: Diamonds in the Rough', 'The Wild Wild West Revisited']"
243,Barney's Great Adventure,"[""Barney's Great Adventure"", ""The Gnomes' Great Adventure"", ""Charlotte's Web 2: Wilbur's Great Adventure"", ""Charlotte's Web 2: Wilbur's Great Adventure"", ""Charlotte's Web 2: Wilbur's Great Adventure""]"
244,The Odd Couple II,"['The Odd Couple', 'Un couple épatant', 'Un couple épatant', 'The Prophecy II', 'The Skulls II']"
245,Species II,"['Species', 'Species III', 'Species III', 'Species: The Awakening', 'Species: The Awakening']"
246,Major League: Back to the Minors,"['Major League: Back to the Minors', 'Major League', 'Major League', 'Major League II', 'Major League II']"
247,Henry Fool,"['Henry Fool', 'Carry On Henry', 'Henry: Portrait of a Serial Killer', 'Henry II, Portrait of a Serial Killer', 'Toy Story']"
248,Mulan,"['Mulan', 'Mulan', 'Mulan', 'Mulan II', 'Mulan II']"
249,The X Files,"['The X Files', 'The X Files', 'The X Files', 'The X Files: I Want to Believe', 'The X Files: I Want to Believe']"
250,Doctor Dolittle,"['Doctor Dolittle', 'Doctor Dolittle', 'Doctor in Distress', 'Doctor at Large', 'Doctor in the House']"
251,Lethal Weapon 4,"['Lethal Weapon 4', 'Lethal Weapon 4', 'Lethal Weapon', 'Lethal Weapon', 'Lethal Weapon 2']"
252,The French Connection,"['The French Connection', 'The French Connection', 'French Connection II', 'Delta Force 2: The Colombian Connection', 'Delta Force 2: The Colombian Connection']"
253,Rocky,"['Rocky V', 'Rocky II', 'Rocky III', 'Rocky IV', 'Rocky Balboa']"
254,A Nightmare on Elm Street Part 2: Freddy's Revenge,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street']"
255,A Nightmare on Elm Street 3: Dream Warriors,"['A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 4: The Dream Master', 'A Nightmare on Elm Street 5: The Dream Child', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street']"
256,A Nightmare on Elm Street 4: The Dream Master,"['A Nightmare on Elm Street 5: The Dream Child', 'A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street']"
257,A Nightmare on Elm Street 5: The Dream Child,"['A Nightmare on Elm Street 4: The Dream Master', 'A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street']"
258,Freddy's Dead: The Final Nightmare,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'New Nightmare', 'The Dead', 'The Dead']"
259,Friday the 13th,"['Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th Part 2', 'Friday the 13th Part 2']"
260,Friday the 13th Part 2,"['Friday the 13th Part 2', 'Friday the 13th Part III', 'Friday the 13th Part III', 'Friday the 13th', 'Friday the 13th']"
261,Friday the 13th Part III,"['Friday the 13th Part III', 'Friday the 13th Part 2', 'Friday the 13th Part 2', 'Friday the 13th', 'Friday the 13th']"
262,Friday the 13th: The Final Chapter,"['Friday the 13th: The Final Chapter', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th']"
263,Friday the 13th: A New Beginning,"['Friday the 13th: A New Beginning', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th']"
264,Friday the 13th Part VI: Jason Lives,"['Friday the 13th Part 2', 'Friday the 13th Part 2', 'Friday the 13th Part III', 'Friday the 13th Part III', 'Friday the 13th']"
265,Friday the 13th Part VII: The New Blood,"['Friday the 13th Part 2', 'Friday the 13th Part 2', 'Friday the 13th Part III', 'Friday the 13th Part III', 'Friday the 13th']"
266,Friday the 13th Part VIII: Jason Takes Manhattan,"['Friday the 13th Part VIII: Jason Takes Manhattan', 'Friday the 13th Part VIII: Jason Takes Manhattan', 'Friday the 13th Part 2', 'Friday the 13th Part 2', 'Friday the 13th Part III']"
267,Halloween,"['Halloween', 'Halloween: H20', 'Halloween', 'Halloween', 'Halloween']"
268,Halloween II,"['Halloween II', 'Halloween II', 'Halloween II', 'Halloween', 'Halloween']"
269,Halloween III: Season of the Witch,"['Halloween', 'Halloween', 'Halloween: H20', 'Halloween', 'Halloween']"
270,Halloween 4: The Return of Michael Myers,"['Halloween 5: The Revenge of Michael Myers', 'Halloween: The Curse of Michael Myers', 'Halloween', 'Halloween', 'Halloween: H20']"
271,Halloween 5: The Revenge of Michael Myers,"['Halloween 4: The Return of Michael Myers', 'Halloween: The Curse of Michael Myers', 'Halloween', 'Halloween', 'Halloween: H20']"
272,Prom Night,"['Prom Night', 'Prom Night', 'Prom Night', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss']"
273,Hello Mary Lou: Prom Night II,"['Hello Mary Lou: Prom Night II', 'Hello Mary Lou: Prom Night II', 'Hello Mary Lou: Prom Night II', 'Hello Mary Lou: Prom Night II', 'Prom Night']"
274,Prom Night III: The Last Kiss,"['Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss', 'Prom Night III: The Last Kiss']"
275,Prom Night IV: Deliver Us from Evil,"['Prom Night', 'Prom Night', 'Prom Night', 'Prom Night', 'The Creature Walks Among Us']"
276,Child's Play,"[""Child's Play 2"", ""Child's Play 3"", ""Child's Play 3"", 'THE HIDDEN CHILD', 'THE HIDDEN CHILD']"
277,Child's Play 2,"[""Child's Play 2"", ""Child's Play 3"", ""Child's Play 3"", 'THE HIDDEN CHILD', 'THE HIDDEN CHILD']"
278,Child's Play 3,"[""Child's Play 2"", ""Child's Play 3"", ""Child's Play 3"", 'THE HIDDEN CHILD', 'THE HIDDEN CHILD']"
279,Poltergeist,"['Poltergeist', 'Poltergeist III', 'Poltergeist II: The Other Side', 'Toy Story', 'Grumpier Old Men']"
280,Poltergeist II: The Other Side,"['Poltergeist', 'Poltergeist', 'Poltergeist III', 'Family Guy Presents: Something, Something, Something, Dark Side', 'The Prophecy II']"
281,Poltergeist III,"['Poltergeist', 'Poltergeist', 'Poltergeist II: The Other Side', 'Superman III', 'Superman III']"
282,The Exorcist,"['The Exorcist', 'Exorcist II: The Heretic', 'Dominion: Prequel to the Exorcist', 'The Exorcist III', 'Exorcist: The Beginning']"
283,Exorcist II: The Heretic,"['The Exorcist', 'The Exorcist', 'Dominion: Prequel to the Exorcist', 'The Exorcist III', 'Exorcist: The Beginning']"
284,The Exorcist III,"['The Exorcist', 'The Exorcist', 'Exorcist II: The Heretic', 'Dominion: Prequel to the Exorcist', 'Exorcist: The Beginning']"
285,Lethal Weapon,"['Lethal Weapon 4', 'Lethal Weapon 4', 'Lethal Weapon', 'Lethal Weapon', 'Lethal Weapon 2']"
286,Lethal Weapon 2,"['Lethal Weapon 4', 'Lethal Weapon 4', 'Lethal Weapon', 'Lethal Weapon', 'Lethal Weapon 2']"
287,Lethal Weapon 3,"['Lethal Weapon 4', 'Lethal Weapon 4', 'Lethal Weapon', 'Lethal Weapon', 'Lethal Weapon 2']"
288,Gremlins,"['Gremlins', 'Gremlins 2: The New Batch', 'Gremlins 2: The New Batch', 'Toy Story', 'Grumpier Old Men']"
289,Gremlins 2: The New Batch,"['Gremlins 2: The New Batch', 'Gremlins', 'Gremlins', 'New Nightmare', ""The Emperor's New Groove""]"
290,The Mask of Zorro,"['The Mask of Zorro', 'Zorro', 'Zorro', 'Zorro', 'Zorro']"
291,Back to the Future Part II,"['Back to the Future Part II', 'Back to the Future Part II', 'Back to the Future Part III', 'Back to the Future Part III', 'Back to the Future Part III']"
292,Back to the Future Part III,"['Back to the Future Part III', 'Back to the Future Part III', 'Back to the Future Part II', 'Back to the Future Part II', 'Back to the Future Part II']"
293,The Poseidon Adventure,"['The Poseidon Adventure', 'The Poseidon Adventure', 'The Poseidon Adventure', 'Beyond the Poseidon Adventure', ""The Gnomes' Great Adventure""]"
294,The Absent-Minded Professor,"['The Nutty Professor', 'The Nutty Professor', 'Nutty Professor II: The Klumps', 'Nutty Professor II: The Klumps', 'The Fugitive']"
295,The Apple Dumpling Gang Rides Again,"['The Apple Dumpling Gang', 'Ernest Rides Again', 'Ernest Rides Again', 'Herbie Rides Again', 'Sheng gang qi bing']"
296,Bambi,"['Bambi', 'Bambi', 'Bambi', 'Bambi', 'Bambi']"
297,The Godfather: Part III,"['The Godfather: Part III', 'The Godfather: Part II', 'The Godfather: Part II', 'The Godfather', 'The Godfather']"
298,The Computer Wore Tennis Shoes,"['Hellboy Animated: Iron Shoes', 'The Fugitive', 'The Enforcer', 'The Nude Bomb', 'The Robe']"
299,D2: The Mighty Ducks,"['D2: The Mighty Ducks', 'The Mighty Ducks', 'Quest for the Mighty Sword', 'Mighty Morphin Power Rangers: The Movie', 'Mighty Morphin Power Rangers: The Movie']"
300,Herbie Goes Bananas,"['Bananas!*', 'Bananas!*', 'Bananas!*', 'Herbie Goes To Monte Carlo', 'Herbie Rides Again']"
301,Herbie Goes To Monte Carlo,"['Charlie Chan at Monte Carlo', 'Herbie Goes Bananas', 'Ernest Goes to Camp', 'Ernest Goes to Camp', 'Ernest Goes to School']"
302,Honey I Blew Up the Kid,"['Honey I Blew Up the Kid', 'Honey', 'Honey', 'Honey', 'Honey 2']"
303,"Honey, I Shrunk the Kids","['Honey, We Shrunk Ourselves', 'Honey', 'Honey', 'Honey', 'Honey 2']"
304,The Jungle Book,"['The Jungle Book 2', 'The Jungle Book 2', 'The Jungle Book 2', 'The Jungle Book 2', 'The Jungle Book 2']"
305,Lady and the Tramp,"['Lady and the Tramp', 'Lady and the Tramp', ""Lady and the Tramp II: Scamp's Adventure"", ""Lady and the Tramp II: Scamp's Adventure"", ""Lady and the Tramp II: Scamp's Adventure""]"
306,The Little Mermaid,"['The Little Mermaid', 'The Little Mermaid', 'The Little Mermaid', ""The Little Mermaid: Ariel's Beginning"", 'The Little Mermaid II: Return to the Sea']"
307,The Mighty Ducks,"['D2: The Mighty Ducks', 'The Mighty Ducks', 'Quest for the Mighty Sword', 'Mighty Morphin Power Rangers: The Movie', 'Mighty Morphin Power Rangers: The Movie']"
308,The Muppet Christmas Carol,"['The Muppet Christmas Carol', 'An All Dogs Christmas Carol', 'An All Dogs Christmas Carol', 'The Muppet Movie', 'The Muppet Movie']"
309,One Hundred and One Dalmatians,"['One Hundred and One Dalmatians', 'One Hundred and One Dalmatians', 'Che: Part One', 'Che: Part One', 'Che: Part One']"
310,Peter Pan,"['Peter Pan', 'Peter Pan', 'Peter Pan', 'Peter Pan', 'Peter Pan']"
311,The Rescuers Down Under,"['The Rescuers Down Under', 'The Rescuers Down Under', 'The Rescuers Down Under', 'The Rescuers Down Under', 'The Rescuers Down Under']"
312,The Rescuers,"['The Rescuers', 'The Rescuers', 'The Rescuers Down Under', 'The Rescuers Down Under', 'The Rescuers Down Under']"
313,Return from Witch Mountain,"['Beyond Witch Mountain', 'Escape to Witch Mountain', 'Zu: The Warriors from the Magic Mountain', 'The Swan Princess: Escape from Castle Mountain', 'Sabrina the Teenage Witch']"
314,The Return of Jafar,"['The Return of Jafar', 'The Return of Jafar', 'The Return of the King', 'The Return of the King', 'The Lion Guard: Return of the Roar']"
315,The Shaggy D.A.,"['The Shaggy Dog', 'The Fugitive', 'The Enforcer', 'The Nude Bomb', 'The Robe']"
316,Son of Flubber,"['Son of Batman', 'Son of Batman', 'Son of Batman', 'Son of Batman', 'Son of Batman']"
317,Splash,"['Splash, Too', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
318,Tron,"['Tron', 'TRON: Legacy', 'TRON: Legacy', 'TRON: Legacy', 'TRON: Legacy']"
