,titulo_original,recomendaciones
148,Raiders of the Lost Ark,"['Raiders of the Lost Ark', 'Stargate: The Ark of Truth', 'Stargate: The Ark of Truth', 'Stargate: The Ark of Truth', 'Stargate: The Ark of Truth']"
149,Aliens,"['Aliens', 'Aliens', 'Aliens', 'Aliens', 'Aliens']"
150,"Il buono, il brutto, il cattivo","['Il buono, il brutto, il cattivo', 'Il buono, il brutto, il cattivo', 'Il buono, il brutto, il cattivo', 'Il buono, il brutto, il cattivo', 'Il buono, il brutto, il cattivo']"
151,Return of the Jedi,"['Return of the Jedi', 'The Return of the King', 'The Return of the King', 'The Lion Guard: Return of the Roar', 'The Return of the Musketeers']"
152,Alien,"['Alien', 'Alien', 'Alien', 'Alien: Resurrection', 'Alien: Resurrection']"
153,Army of Darkness,"['Army of Darkness', 'Army of Darkness', 'Army of Darkness', '7 Nights Of Darkness', 'City in Darkness']"
154,Psycho,"['Psycho', 'Psycho', 'Psycho II', 'Psycho II', 'Psycho III']"
155,The Blues Brothers,"['Blues Brothers 2000', 'Blues Busters', ""Cheech & Chong's The Corsican Brothers"", 'Universal Soldier II: Brothers in Arms', 'The Fugitive']"
156,The Godfather: Part II,"['The Godfather: Part II', 'The Godfather: Part III', 'The Godfather: Part III', 'The Godfather', 'The Godfather']"
157,A Grand Day Out,"['Flåklypa Grand Prix', 'Le grand bazar', 'Grand Masti', 'Day of the Dead', 'Day of the Dead']"
158,The Sting,"['The Sting II', 'Sting of the Black Scorpion', 'The Fugitive', 'The Enforcer', 'The Nude Bomb']"
159,The Terminator,"['The Terminator', 'The Terminator', 'The Terminator', 'The Terminator', 'The Terminator']"
160,Chinatown,"['Chinatown', 'Chinatown', 'Mr. Wong in Chinatown', 'Shadows Over Chinatown', 'Toy Story']"
161,Evil Dead II,"['Evil Dead II', 'The Evil Dead', 'The Dead', 'The Dead', '976-Evil II']"
162,Back to the Future,"['Back to the Future', 'Back to the Future', 'Back to the Future Part II', 'Back to the Future Part II', 'Back to the Future Part II']"
163,Highlander,"['Highlander', 'Highlander', 'Highlander', 'Highlander: Endgame', 'Highlander: Endgame']"
164,Fantasia,"['Fantasia', 'Fantasia', 'Fantasia', 'Fantasia', 'Fantasia']"
165,Koyaanisqatsi,"['Koyaanisqatsi', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
166,Indiana Jones and the Last Crusade,"['Indiana Jones and the Last Crusade', 'Indiana Jones and the Temple of Doom', 'Indiana Jones and the Temple of Doom', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Indiana Jones and the Kingdom of the Crystal Skull']"
167,Alien³,"['Alien³', 'Alien³', 'Alien³', 'Toy Story', 'Grumpier Old Men']"
168,Amityville: It's About Time,"[""Amityville: It's About Time"", 'Amityville 3-D', 'The Amityville Playhouse', 'The Amityville Asylum', 'Bring It On: In It To Win It']"
169,Amityville 3-D,"['The Amityville Playhouse', 'The Amityville Asylum', 'The Amityville Curse', 'The Amityville Curse', 'The Amityville Curse']"
170,Amityville: Dollhouse,"['Amityville: Dollhouse', 'Amityville: Dollhouse', 'Amityville 3-D', 'The Amityville Playhouse', 'The Amityville Asylum']"
171,Amityville: A New Generation,"['Amityville 3-D', 'The Amityville Playhouse', 'The Amityville Asylum', 'Care Bears Movie II: A New Generation', 'Care Bears Movie II: A New Generation']"
172,Amityville II: The Possession,"['Amityville II: The Possession', 'Amityville II: The Possession', 'Amityville II: The Possession', 'Amityville II: The Possession', 'Amityville II: The Possession']"
173,The Amityville Horror,"['The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Playhouse']"
174,The Amityville Curse,"['The Amityville Curse', 'The Amityville Curse', 'The Amityville Curse', 'The Amityville Playhouse', 'The Amityville Asylum']"
175,The Blob,"['The Blob', 'Beware! The Blob', 'The Fugitive', 'The Enforcer', 'The Nude Bomb']"
176,Bride of Frankenstein,"['Bride of Boogedy', 'Frankenstein', 'The Evil of Frankenstein', 'The Ghost of Frankenstein', 'House of Frankenstein']"
177,Candyman,"['Candyman', 'Candyman', 'Candyman: Day of the Dead', 'Candyman: Day of the Dead', 'Candyman: Farewell to the Flesh']"
178,Carrie,"['The Rage: Carrie 2', 'The Rage: Carrie 2', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men']"
179,A Nightmare on Elm Street,"['A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street', 'A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 3: Dream Warriors']"
180,The Omen,"['The Omen', 'The Omen', 'The Omen', 'Omen IV: The Awakening', 'Omen IV: The Awakening']"
181,Breaking the Waves,"['Breaking the Waves', 'Breaking the Waves', 'Breaking the Waves', 'Breaking the Waves', 'Breaking the Waves']"
182,Star Trek: First Contact,"['Star Trek: First Contact', 'Star Trek: Generations', 'Star Trek: Insurrection', 'Star Trek', 'Star Trek']"
183,Jingle All the Way,"['Jingle All the Way', 'Jingle All the Way 2', 'Jingle All the Way 2', 'We Still Kill the Old Way', ""All Hallows' Eve""]"
184,Paradise Lost: The Child Murders at Robin Hood Hills,"['Paradise Lost: The Child Murders at Robin Hood Hills', 'Paradise Lost 2: Revelations', 'Paradise Lost 2: Revelations', 'Batman & Robin', 'Batman & Robin']"
185,101 Dalmatians,"['101 Dalmatians', '101 Dalmatians', '101 Dalmatians', ""101 Dalmatians II: Patch's London Adventure"", ""101 Dalmatians II: Patch's London Adventure""]"
186,Die Hard 2,"['Die Hard', 'Die Hard', 'Die Hard 2', 'Die Hard 2', 'Die Hard 2']"
