,titulo_original,duracion,año_realizacion
6500,"Die Nibelungen, Teil 1: Siegfried",91.0,1966
6512,Center Stage,115.0,2000
6514,Pee-wee's Big Adventure,90.0,1985
6518,Saludos Amigos,42.0,1942
6526,Road Trip,93.0,2000
6530,Mission: Impossible II,123.0,2000
6548,Shanghai Noon,110.0,2000
6620,On Her Majesty's Secret Service,142.0,1969
6656,The Spy Who Loved Me,125.0,1977
6710,Moonraker,126.0,1979
6758,The Man with the Golden Gun,125.0,1974
6812,Big Momma's House,98.0,2000
6820,The Endless Summer,95.0,1966
6821,The Guns of Navarone,158.0,1961
6869,Quatermass and the Pit,97.0,1967
6871,Quatermass II,85.0,1957
6873,Puppet Master,85.0,1989
6875,Puppet Master II,88.0,1990
6877,Puppet Master III Toulon's Revenge,86.0,1991
6879,Puppet Master 4,79.0,1993
6880,Puppet Master 5: The Final Chapter,82.0,1994
6881,Curse of the Puppet Master,90.0,1998
6882,Retro Puppet Master,80.0,1999
6883,Benji,86.0,1974
6886,Benji the Hunted,88.0,1987
6889,For the Love of Benji,85.0,1977
6890,The Decline of Western Civilization,100.0,1981
6892,The Decline of Western Civilization Part II: The Metal Years,93.0,1988
6894,Per qualche dollaro in più,132.0,1965
6900,Magnum Force,124.0,1973
6906,Porky's,94.0,1981
6910,Porky's II: The Next Day,98.0,1983
6914,Porky's Revenge,92.0,1985
6920,Class of Nuke 'Em High,85.0,1986
6923,The Toxic Avenger,82.0,1984
6927,The Toxic Avenger Part II,96.0,1989
6933,The Toxic Avenger Part III: The Last Temptation of Toxie,102.0,1989
6937,Predator 2,108.0,1990
6949,Alien Nation,91.0,1988
6955,Mad Max,93.0,1979
6967,Mad Max 2,95.0,1981
6971,Mad Max Beyond Thunderdome,107.0,1985
6974,Nine 1/2 Weeks,117.0,1986
6984,Firestarter,114.0,1984
7004,Shaft,100.0,1971
7012,Shaft,99.0,2000
7060,F/X,109.0,1986
7066,F/X2,108.0,1991
7090,Missing in Action,101.0,1984
7098,Missing in Action 2: The Beginning,100.0,1985
7110,Braddock: Missing in Action III,101.0,1988
7118,The Golden Voyage of Sinbad,105.0,1973
7134,House Party,100.0,1990
7136,House Party 2,94.0,1991
7137,Nekromantik,75.0,1987
7139,Shaft in Africa,112.0,1973
7149,Shaft's Big Score!,104.0,1972
7157,Scary Movie,88.0,2000
7161,X-Men,104.0,2000
7179,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,84.0,1999
7319,Sinbad and the Eye of the Tiger,113.0,1977
7329,Nutty Professor II: The Klumps,106.0,2000
7337,Hollow Man,112.0,2000
7349,Phantasm II,97.0,1988
7361,Phantasm III: Lord of the Dead,91.0,1994
7364,Phantasm IV: Oblivion,90.0,1998
7366,Pumpkinhead,86.0,1988
7370,Sleepaway Camp,85.0,1983
7371,Ilsa: She Wolf of the SS,96.0,1975
7383,The Cell,107.0,2000
7413,Gojira ni-sen mireniamu,107.0,1999
7417,The Naked Gun: From the Files of Police Squad!,85.0,1988
7419,The Naked Gun 2½: The Smell of Fear,85.0,1991
7421,The Art of War,117.0,2000
7445,Bring It On,98.0,2000
7446,Highlander: Endgame,87.0,2000
7464,Anatomie,103.0,2000
7468,Urban Legends: Final Cut,97.0,2000
7474,Dancer in the Dark,140.0,2000
8410,Hellraiser,94.0,1987
8414,Hellbound: Hellraiser II,97.0,1988
8422,Hellraiser III: Hell on Earth,93.0,1992
8440,Beach Party,101.0,1963
8442,Bikini Beach,99.0,1964
8445,Return of the Fly,80.0,1959
8451,Pajama Party,82.0,1964
8453,Creature from the Black Lagoon,79.0,1954
