,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
51530315,69798,Director,Ben Palmer,The Inbetweeners Collection,Channel 4 Television Corporation,United Kingdom,0.0,en,The Inbetweeners Movie,2011-08-19,88025781.0,97.0,2011,inf
51530332,72914,Director,Joe Cross,"Fat, Sick & Nearly Dead",,United States of America,0.0,en,"Fat, Sick & Nearly Dead",2010-04-16,0.0,97.0,2010,0.0
51530333,72914,Director,Joe Cross,"Fat, Sick & Nearly Dead",,Australia,0.0,en,"Fat, Sick & Nearly Dead",2010-04-16,0.0,97.0,2010,0.0
51530334,72914,Director,Kurt Engfehr,"Fat, Sick & Nearly Dead",,United States of America,0.0,en,"Fat, Sick & Nearly Dead",2010-04-16,0.0,97.0,2010,0.0
51530335,72914,Director,Kurt Engfehr,"Fat, Sick & Nearly Dead",,Australia,0.0,en,"Fat, Sick & Nearly Dead",2010-04-16,0.0,97.0,2010,0.0
51530372,36236,Director,Pier Paolo Pasolini,Totò Collection,Les Productions Artistes Associés,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530373,36236,Director,Pier Paolo Pasolini,Totò Collection,Les Productions Artistes Associés,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530374,36236,Director,Pier Paolo Pasolini,Totò Collection,Dino de Laurentiis Cinematografica,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530375,36236,Director,Pier Paolo Pasolini,Totò Collection,Dino de Laurentiis Cinematografica,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530384,36236,Director,Vittorio De Sica,Totò Collection,Les Productions Artistes Associés,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530385,36236,Director,Vittorio De Sica,Totò Collection,Les Productions Artistes Associés,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530386,36236,Director,Vittorio De Sica,Totò Collection,Dino de Laurentiis Cinematografica,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530387,36236,Director,Vittorio De Sica,Totò Collection,Dino de Laurentiis Cinematografica,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530396,36236,Director,Luchino Visconti,Totò Collection,Les Productions Artistes Associés,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530397,36236,Director,Luchino Visconti,Totò Collection,Les Productions Artistes Associés,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530398,36236,Director,Luchino Visconti,Totò Collection,Dino de Laurentiis Cinematografica,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530399,36236,Director,Luchino Visconti,Totò Collection,Dino de Laurentiis Cinematografica,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530408,36236,Director,Franco Rossi,Totò Collection,Les Productions Artistes Associés,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530409,36236,Director,Franco Rossi,Totò Collection,Les Productions Artistes Associés,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530410,36236,Director,Franco Rossi,Totò Collection,Dino de Laurentiis Cinematografica,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530411,36236,Director,Franco Rossi,Totò Collection,Dino de Laurentiis Cinematografica,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530420,36236,Director,Mauro Bolognini,Totò Collection,Les Productions Artistes Associés,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530421,36236,Director,Mauro Bolognini,Totò Collection,Les Productions Artistes Associés,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530422,36236,Director,Mauro Bolognini,Totò Collection,Dino de Laurentiis Cinematografica,France,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51530423,36236,Director,Mauro Bolognini,Totò Collection,Dino de Laurentiis Cinematografica,Italy,0.0,it,Le streghe,1967-02-22,0.0,105.0,1967,0.0
51549812,76684,Director,Indra Kumar,Masti Collection,Maruti International,India,0.0,hi,Masti,2004-04-09,0.0,166.0,2004,0.0
51549856,38543,Director,Jonathan English,Ironclad Collection,Rising Star,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549857,38543,Director,Jonathan English,Ironclad Collection,Rising Star,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549858,38543,Director,Jonathan English,Ironclad Collection,Premiere Picture,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549859,38543,Director,Jonathan English,Ironclad Collection,Premiere Picture,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549860,38543,Director,Jonathan English,Ironclad Collection,Mythic International Entertainment,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549861,38543,Director,Jonathan English,Ironclad Collection,Mythic International Entertainment,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549862,38543,Director,Jonathan English,Ironclad Collection,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I),United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549863,38543,Director,Jonathan English,Ironclad Collection,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I),United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549864,38543,Director,Jonathan English,Ironclad Collection,Wales Creative IP Fund,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549865,38543,Director,Jonathan English,Ironclad Collection,Wales Creative IP Fund,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549866,38543,Director,Jonathan English,Ironclad Collection,Silver Reel,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549867,38543,Director,Jonathan English,Ironclad Collection,Silver Reel,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549868,38543,Director,Jonathan English,Ironclad Collection,Perpetual Media Capital,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549869,38543,Director,Jonathan English,Ironclad Collection,Perpetual Media Capital,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549870,38543,Director,Jonathan English,Ironclad Collection,Molinare Investment,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549871,38543,Director,Jonathan English,Ironclad Collection,Molinare Investment,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549872,38543,Director,Jonathan English,Ironclad Collection,VIP 4 Medienfonds,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549873,38543,Director,Jonathan English,Ironclad Collection,VIP 4 Medienfonds,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549874,38543,Director,Jonathan English,Ironclad Collection,ContentFilm International,United Kingdom,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51549875,38543,Director,Jonathan English,Ironclad Collection,ContentFilm International,United States of America,25000000.0,en,Ironclad,2011-03-03,0.0,121.0,2011,0.0
51812256,24428,Director,Joss Whedon,The Avengers Collection,Paramount Pictures,United States of America,220000000.0,en,The Avengers,2012-04-25,1519557910.0,143.0,2012,6.907081409090909
51812257,24428,Director,Joss Whedon,The Avengers Collection,Marvel Studios,United States of America,220000000.0,en,The Avengers,2012-04-25,1519557910.0,143.0,2012,6.907081409090909
51816396,60935,Director,Matthijs van Heijningen Jr.,The Thing Collection,Universal Pictures,United States of America,35000000.0,en,The Thing,2011-10-12,28128670.0,103.0,2011,0.8036762857142857
