,pelicula_id,director,titulo_original,recaudacion,fecha_realizacion,presupuesto,ganancia
547962,429,Sergio Leone,"Il buono, il brutto, il cattivo",6000000.0,1966-12-23,1200000.0,5.0
558458,1892,Richard Marquand,Return of the Jedi,572700000.0,1983-05-23,32350000.0,17.7032457496136
563066,348,Ridley Scott,Alien,104931801.0,1979-05-25,11000000.0,9.539254636363635
568186,766,Sam Raimi,Army of Darkness,0.0,1992-10-09,11000000.0,0.0
569770,539,Alfred Hitchcock,Psycho,32000000.0,1960-06-16,806948.0,39.655591190510414
572200,525,John Landis,The Blues Brothers,115229890.0,1980-06-17,27000000.0,4.267773703703703
573064,240,Francis Ford Coppola,The Godfather: Part II,47542841.0,1974-12-20,13000000.0,3.657141615384616
578440,530,Nick Park,A Grand Day Out,0.0,1990-05-18,0.0,0.0
578465,9277,George Roy Hill,The Sting,159616327.0,1973-12-25,5500000.0,29.02115036363636
578825,218,James Cameron,The Terminator,78371200.0,1984-10-26,6400000.0,12.2455
608525,829,Roman Polanski,Chinatown,30000000.0,1974-06-20,6000000.0,5.0
626237,765,Sam Raimi,Evil Dead II,5923044.0,1987-03-13,3600000.0,1.64529
626561,105,Robert Zemeckis,Back to the Future,381109762.0,1985-07-03,19000000.0,20.05840852631579
633905,8009,Russell Mulcahy,Highlander,5900000.0,1986-03-07,16000000.0,0.36875
636209,756,Samuel Armstrong,Fantasia,83320000.0,1940-11-13,2280000.0,36.54385964912281
636212,756,James Algar,Fantasia,83320000.0,1940-11-13,2280000.0,36.54385964912281
636215,756,William Roberts,Fantasia,83320000.0,1940-11-13,2280000.0,36.54385964912281
636218,756,Paul Satterfield,Fantasia,83320000.0,1940-11-13,2280000.0,36.54385964912281
